accession	accession_version	strain	date	region	country	division	location	length	host	release_date	update_date	sra_accessions	authors	institution	url
OP858739	OP858739.1	OP858739	2016-09-XX	North America	Cuba			9723	Homo sapiens	2023-12-07	2023-12-07		Selhorst et al.	Institute of Tropical Medicine, Biomedical Sciences	https://www.ncbi.nlm.nih.gov/nuccore/OP858739
OP858740	OP858740.1	OP858740	2016-09-XX	North America	Cuba			9647	Homo sapiens	2023-12-07	2023-12-07		Selhorst et al.	Institute of Tropical Medicine, Biomedical Sciences	https://www.ncbi.nlm.nih.gov/nuccore/OP858740
OP858741	OP858741.1	OP858741	2016-09-XX	North America	Cuba			8826	Homo sapiens	2023-12-07	2023-12-07		Selhorst et al.	Institute of Tropical Medicine, Biomedical Sciences	https://www.ncbi.nlm.nih.gov/nuccore/OP858741
OP858742	OP858742.1	OP858742	2016-09-XX	North America	Cuba			9648	Homo sapiens	2023-12-07	2023-12-07		Selhorst et al.	Institute of Tropical Medicine, Biomedical Sciences	https://www.ncbi.nlm.nih.gov/nuccore/OP858742
OP858743	OP858743.1	OP858743	2016-09-XX	North America	Cuba			10540	Homo sapiens	2023-12-07	2023-12-07		Selhorst et al.	Institute of Tropical Medicine, Biomedical Sciences	https://www.ncbi.nlm.nih.gov/nuccore/OP858743
OP858744	OP858744.1	OP858744	2016-09-XX	North America	Cuba			9366	Homo sapiens	2023-12-07	2023-12-07		Selhorst et al.	Institute of Tropical Medicine, Biomedical Sciences	https://www.ncbi.nlm.nih.gov/nuccore/OP858744
OP858745	OP858745.1	OP858745	2016-09-04	North America	Cuba			9997	Homo sapiens	2023-12-07	2023-12-07		Selhorst et al.	Institute of Tropical Medicine, Biomedical Sciences	https://www.ncbi.nlm.nih.gov/nuccore/OP858745
OP858746	OP858746.1	OP858746	2016-10-XX	North America	Cuba			9997	Homo sapiens	2023-12-07	2023-12-07		Selhorst et al.	Institute of Tropical Medicine, Biomedical Sciences	https://www.ncbi.nlm.nih.gov/nuccore/OP858746
OP858747	OP858747.1	OP858747	2016-10-XX	North America	Cuba			6692	Homo sapiens	2023-12-07	2023-12-07		Selhorst et al.	Institute of Tropical Medicine, Biomedical Sciences	https://www.ncbi.nlm.nih.gov/nuccore/OP858747
OP858748	OP858748.1	OP858748	2016-10-XX	North America	Cuba			9374	Homo sapiens	2023-12-07	2023-12-07		Selhorst et al.	Institute of Tropical Medicine, Biomedical Sciences	https://www.ncbi.nlm.nih.gov/nuccore/OP858748
OP858749	OP858749.1	OP858749	2016-10-XX	North America	Cuba			10540	Homo sapiens	2023-12-07	2023-12-07		Selhorst et al.	Institute of Tropical Medicine, Biomedical Sciences	https://www.ncbi.nlm.nih.gov/nuccore/OP858749
OP858750	OP858750.1	OP858750	2016-11-XX	North America	Cuba			9375	Homo sapiens	2023-12-07	2023-12-07		Selhorst et al.	Institute of Tropical Medicine, Biomedical Sciences	https://www.ncbi.nlm.nih.gov/nuccore/OP858750
OP858751	OP858751.1	OP858751	2017-02-XX	North America	Cuba			10466	Homo sapiens	2023-12-07	2023-12-07		Selhorst et al.	Institute of Tropical Medicine, Biomedical Sciences	https://www.ncbi.nlm.nih.gov/nuccore/OP858751
OP858752	OP858752.1	OP858752	2017-01-29	North America	Cuba			10540	Homo sapiens	2023-12-07	2023-12-07		Selhorst et al.	Institute of Tropical Medicine, Biomedical Sciences	https://www.ncbi.nlm.nih.gov/nuccore/OP858752
OP858753	OP858753.1	OP858753	2017-03-XX	North America	Cuba			10540	Homo sapiens	2023-12-07	2023-12-07		Selhorst et al.	Institute of Tropical Medicine, Biomedical Sciences	https://www.ncbi.nlm.nih.gov/nuccore/OP858753
OP858754	OP858754.1	OP858754	2017-03-XX	North America	Cuba			10284	Homo sapiens	2023-12-07	2023-12-07		Selhorst et al.	Institute of Tropical Medicine, Biomedical Sciences	https://www.ncbi.nlm.nih.gov/nuccore/OP858754
OP858755	OP858755.1	OP858755	2017-03-21	North America	Cuba			10276	Homo sapiens	2023-12-07	2023-12-07		Selhorst et al.	Institute of Tropical Medicine, Biomedical Sciences	https://www.ncbi.nlm.nih.gov/nuccore/OP858755
OP858756	OP858756.1	OP858756	2017-06-XX	North America	Cuba			10284	Homo sapiens	2023-12-07	2023-12-07		Selhorst et al.	Institute of Tropical Medicine, Biomedical Sciences	https://www.ncbi.nlm.nih.gov/nuccore/OP858756
OP858757	OP858757.1	OP858757	2017-09-XX	North America	Cuba			6977	Homo sapiens	2023-12-07	2023-12-07		Selhorst et al.	Institute of Tropical Medicine, Biomedical Sciences	https://www.ncbi.nlm.nih.gov/nuccore/OP858757
OP858758	OP858758.1	OP858758	2017-09-XX	North America	Cuba			9077	Homo sapiens	2023-12-07	2023-12-07		Selhorst et al.	Institute of Tropical Medicine, Biomedical Sciences	https://www.ncbi.nlm.nih.gov/nuccore/OP858758
OP858759	OP858759.1	OP858759	2017-09-02	North America	Cuba			10540	Homo sapiens	2023-12-07	2023-12-07		Selhorst et al.	Institute of Tropical Medicine, Biomedical Sciences	https://www.ncbi.nlm.nih.gov/nuccore/OP858759
OP858760	OP858760.1	OP858760	2017-10-16	North America	Cuba			9092	Homo sapiens	2023-12-07	2023-12-07		Selhorst et al.	Institute of Tropical Medicine, Biomedical Sciences	https://www.ncbi.nlm.nih.gov/nuccore/OP858760
OP858761	OP858761.1	OP858761	2017-10-17	North America	Cuba			9997	Homo sapiens	2023-12-07	2023-12-07		Selhorst et al.	Institute of Tropical Medicine, Biomedical Sciences	https://www.ncbi.nlm.nih.gov/nuccore/OP858761
OP858762	OP858762.1	OP858762	2017-10-17	North America	Cuba			9648	Homo sapiens	2023-12-07	2023-12-07		Selhorst et al.	Institute of Tropical Medicine, Biomedical Sciences	https://www.ncbi.nlm.nih.gov/nuccore/OP858762
OP858763	OP858763.1	OP858763	2017-10-22	North America	Cuba			10284	Homo sapiens	2023-12-07	2023-12-07		Selhorst et al.	Institute of Tropical Medicine, Biomedical Sciences	https://www.ncbi.nlm.nih.gov/nuccore/OP858763
OP858764	OP858764.1	OP858764	2017-10-17	North America	Cuba			10540	Homo sapiens	2023-12-07	2023-12-07		Selhorst et al.	Institute of Tropical Medicine, Biomedical Sciences	https://www.ncbi.nlm.nih.gov/nuccore/OP858764
OP858765	OP858765.1	OP858765	2017-10-17	North America	Cuba			9967	Homo sapiens	2023-12-07	2023-12-07		Selhorst et al.	Institute of Tropical Medicine, Biomedical Sciences	https://www.ncbi.nlm.nih.gov/nuccore/OP858765
OP858766	OP858766.1	OP858766	2017-10-23	North America	Cuba			10285	Homo sapiens	2023-12-07	2023-12-07		Selhorst et al.	Institute of Tropical Medicine, Biomedical Sciences	https://www.ncbi.nlm.nih.gov/nuccore/OP858766
OP858767	OP858767.1	OP858767	2017-10-28	North America	Cuba			8766	Homo sapiens	2023-12-07	2023-12-07		Selhorst et al.	Institute of Tropical Medicine, Biomedical Sciences	https://www.ncbi.nlm.nih.gov/nuccore/OP858767
OP858768	OP858768.1	OP858768	2018-01-21	North America	Cuba			10284	Homo sapiens	2023-12-07	2023-12-07		Selhorst et al.	Institute of Tropical Medicine, Biomedical Sciences	https://www.ncbi.nlm.nih.gov/nuccore/OP858768
OP858769	OP858769.1	OP858769	2018-02-15	North America	Cuba			10540	Homo sapiens	2023-12-07	2023-12-07		Selhorst et al.	Institute of Tropical Medicine, Biomedical Sciences	https://www.ncbi.nlm.nih.gov/nuccore/OP858769
OP858770	OP858770.1	OP858770	2018-02-16	North America	Cuba			10540	Homo sapiens	2023-12-07	2023-12-07		Selhorst et al.	Institute of Tropical Medicine, Biomedical Sciences	https://www.ncbi.nlm.nih.gov/nuccore/OP858770
OP858771	OP858771.1	OP858771	2018-02-22	North America	Cuba			10285	Homo sapiens	2023-12-07	2023-12-07		Selhorst et al.	Institute of Tropical Medicine, Biomedical Sciences	https://www.ncbi.nlm.nih.gov/nuccore/OP858771
OP858772	OP858772.1	OP858772	2018-03-22	North America	Cuba			10540	Homo sapiens	2023-12-07	2023-12-07		Selhorst et al.	Institute of Tropical Medicine, Biomedical Sciences	https://www.ncbi.nlm.nih.gov/nuccore/OP858772
OP858773	OP858773.1	OP858773	2018-03-24	North America	Cuba			9967	Homo sapiens	2023-12-07	2023-12-07		Selhorst et al.	Institute of Tropical Medicine, Biomedical Sciences	https://www.ncbi.nlm.nih.gov/nuccore/OP858773
OP858774	OP858774.1	OP858774	2018-03-20	North America	Cuba			10540	Homo sapiens	2023-12-07	2023-12-07		Selhorst et al.	Institute of Tropical Medicine, Biomedical Sciences	https://www.ncbi.nlm.nih.gov/nuccore/OP858774
OP858775	OP858775.1	OP858775	2018-03-09	North America	Cuba			9997	Homo sapiens	2023-12-07	2023-12-07		Selhorst et al.	Institute of Tropical Medicine, Biomedical Sciences	https://www.ncbi.nlm.nih.gov/nuccore/OP858775
OP858776	OP858776.1	OP858776	2018-03-01	North America	Cuba			10540	Homo sapiens	2023-12-07	2023-12-07		Selhorst et al.	Institute of Tropical Medicine, Biomedical Sciences	https://www.ncbi.nlm.nih.gov/nuccore/OP858776
OP858777	OP858777.1	OP858777	2018-08-XX	North America	Cuba			9092	Homo sapiens	2023-12-07	2023-12-07		Selhorst et al.	Institute of Tropical Medicine, Biomedical Sciences	https://www.ncbi.nlm.nih.gov/nuccore/OP858777
OP858778	OP858778.1	OP858778	2018-09-10	North America	Cuba			8755	Homo sapiens	2023-12-07	2023-12-07		Selhorst et al.	Institute of Tropical Medicine, Biomedical Sciences	https://www.ncbi.nlm.nih.gov/nuccore/OP858778
OP858779	OP858779.1	OP858779	2018-09-XX	North America	Cuba			9366	Homo sapiens	2023-12-07	2023-12-07		Selhorst et al.	Institute of Tropical Medicine, Biomedical Sciences	https://www.ncbi.nlm.nih.gov/nuccore/OP858779
OP858780	OP858780.1	OP858780	2018-10-29	North America	Cuba			10540	Homo sapiens	2023-12-07	2023-12-07		Selhorst et al.	Institute of Tropical Medicine, Biomedical Sciences	https://www.ncbi.nlm.nih.gov/nuccore/OP858780
OP858781	OP858781.1	OP858781	2018-10-29	North America	Cuba			10540	Homo sapiens	2023-12-07	2023-12-07		Selhorst et al.	Institute of Tropical Medicine, Biomedical Sciences	https://www.ncbi.nlm.nih.gov/nuccore/OP858781
OP858782	OP858782.1	OP858782	2018-11-03	North America	Cuba			9967	Homo sapiens	2023-12-07	2023-12-07		Selhorst et al.	Institute of Tropical Medicine, Biomedical Sciences	https://www.ncbi.nlm.nih.gov/nuccore/OP858782
OP858783	OP858783.1	OP858783	2019-07-18	North America	Cuba			6116	Homo sapiens	2023-12-07	2023-12-07		Selhorst et al.	Institute of Tropical Medicine, Biomedical Sciences	https://www.ncbi.nlm.nih.gov/nuccore/OP858783
OP858784	OP858784.1	OP858784	2020-01-02	North America	Cuba			10540	Homo sapiens	2023-12-07	2023-12-07		Selhorst et al.	Institute of Tropical Medicine, Biomedical Sciences	https://www.ncbi.nlm.nih.gov/nuccore/OP858784
OP898541	OP898541.1	OP898541	2018-10-01	South America	Colombia			10645	Homo sapiens	2022-12-17	2022-12-17		Calderon-Pelaez et al.	Universidad El Bosque, Instituto de Virologia - Vicerrectoria de Investigaciones	https://www.ncbi.nlm.nih.gov/nuccore/OP898541
OP898542	OP898542.1	OP898542	2018-04-01	South America	Colombia			10642	Homo sapiens	2022-12-17	2022-12-17		Calderon-Pelaez et al.	Universidad El Bosque, Instituto de Virologia - Vicerrectoria de Investigaciones	https://www.ncbi.nlm.nih.gov/nuccore/OP898542
OP947010	OP947010.1	OP947010	2021-07-11	Asia	India	Kumarapuram	Thiruvananthapuram, Kerala	187	Aedes aegypti	2024-01-01	2024-01-01		Pradeep Kumar et al.	Vector Control Research Centre (ICMR), VCRC Field Station	https://www.ncbi.nlm.nih.gov/nuccore/OP947010
OP947011	OP947011.1	OP947011	2021-07-11	Asia	India	Parassala	Thiruvananthapuram, Kerala	187	Aedes albopictus	2024-01-01	2024-01-01		Pradeep Kumar et al.	Vector Control Research Centre (ICMR), VCRC Field Station	https://www.ncbi.nlm.nih.gov/nuccore/OP947011
OQ165285	OQ165285.1	OQ165285	1966-XX-XX	Asia	Malaysia			10799		2023-04-28	2023-05-15		Lu et al.	University of Washington, Immunology	https://www.ncbi.nlm.nih.gov/nuccore/OQ165285
OQ180929	OQ180929.1	OQ180929	1984-XX-XX	Africa	Senegal			10700	Aedes africanus	2023-04-28	2023-05-15		Lu et al.	University of Washington, Immunology	https://www.ncbi.nlm.nih.gov/nuccore/OQ180929
OQ338852	OQ338852.1	OQ338852	2015-06-13	South America	Brazil	Goiás		10672	Homo sapiens	2024-01-26	2024-01-26		Loyola et al.	University of Sao Paulo, Department of Microbiology, Biomedical Sciences Institute	https://www.ncbi.nlm.nih.gov/nuccore/OQ338852
OQ338853	OQ338853.1	OQ338853	2016-03-14	South America	Brazil	Goiás		10693	Homo sapiens	2024-01-26	2024-01-26		Loyola et al.	University of Sao Paulo, Department of Microbiology, Biomedical Sciences Institute	https://www.ncbi.nlm.nih.gov/nuccore/OQ338853
OQ661912	OQ661912.1	OQ661912	2017-08-22	Asia	Thailand			10699	Homo sapiens	2023-04-04	2023-04-04		Klungthong et al.	USAMD-AFRIMS, Virology	https://www.ncbi.nlm.nih.gov/nuccore/OQ661912
OQ661913	OQ661913.1	OQ661913	2017-07-11	Asia	Thailand			10699	Homo sapiens	2023-04-04	2023-04-04		Klungthong et al.	USAMD-AFRIMS, Virology	https://www.ncbi.nlm.nih.gov/nuccore/OQ661913
OQ661914	OQ661914.1	OQ661914	2011-07-04	Asia	Thailand			10699	Homo sapiens	2023-04-04	2023-04-04		Klungthong et al.	USAMD-AFRIMS, Virology	https://www.ncbi.nlm.nih.gov/nuccore/OQ661914
OQ661915	OQ661915.1	OQ661915	2013-08-19	Asia	Thailand			10699	Homo sapiens	2023-04-04	2023-04-04		Klungthong et al.	USAMD-AFRIMS, Virology	https://www.ncbi.nlm.nih.gov/nuccore/OQ661915
OQ661916	OQ661916.1	OQ661916	2016-09-12	Asia	Thailand			10699	Homo sapiens	2023-04-04	2023-04-04		Klungthong et al.	USAMD-AFRIMS, Virology	https://www.ncbi.nlm.nih.gov/nuccore/OQ661916
OQ661917	OQ661917.1	OQ661917	2018-08-25	Asia	Thailand			10699	Homo sapiens	2023-04-04	2023-04-04		Klungthong et al.	USAMD-AFRIMS, Virology	https://www.ncbi.nlm.nih.gov/nuccore/OQ661917
OQ661918	OQ661918.1	OQ661918	2018-XX-XX	Asia	Thailand			10699	Homo sapiens	2023-04-04	2023-04-04		Klungthong et al.	USAMD-AFRIMS, Virology	https://www.ncbi.nlm.nih.gov/nuccore/OQ661918
OQ661919	OQ661919.1	OQ661919	2018-11-06	Asia	Thailand			10699	Homo sapiens	2023-04-04	2023-04-04		Klungthong et al.	USAMD-AFRIMS, Virology	https://www.ncbi.nlm.nih.gov/nuccore/OQ661919
OQ727565	OQ727565.1	OQ727565	2016-04-08	South America	Brazil	Bahia	Campo Formoso, Gameleira do Dida	10638	Homo sapiens	2023-07-07	2023-07-07		de Moraes et al.	Instituto Goncalo Moniz / Fundacao Oswaldo Cruz, Laboratorio de Enfermidades Infecciosas Transmitidas por Vetores	https://www.ncbi.nlm.nih.gov/nuccore/OQ727565
OQ727566	OQ727566.1	OQ727566	2016-04-09	South America	Brazil	Bahia	Campo Formoso, Tiquara	10383	Homo sapiens	2023-07-07	2023-07-07		de Moraes et al.	Instituto Goncalo Moniz / Fundacao Oswaldo Cruz, Laboratorio de Enfermidades Infecciosas Transmitidas por Vetores	https://www.ncbi.nlm.nih.gov/nuccore/OQ727566
OQ727567	OQ727567.1	OQ727567	2015-05-06	South America	Brazil	Bahia	Salvador, Dom Avelar	10638	Homo sapiens	2023-07-07	2023-07-07		de Moraes et al.	Instituto Goncalo Moniz / Fundacao Oswaldo Cruz, Laboratorio de Enfermidades Infecciosas Transmitidas por Vetores	https://www.ncbi.nlm.nih.gov/nuccore/OQ727567
OQ727568	OQ727568.1	OQ727568	2015-05-18	South America	Brazil	Bahia	Salvador, Sao Marcos	10639	Homo sapiens	2023-07-07	2023-07-07		de Moraes et al.	Instituto Goncalo Moniz / Fundacao Oswaldo Cruz, Laboratorio de Enfermidades Infecciosas Transmitidas por Vetores	https://www.ncbi.nlm.nih.gov/nuccore/OQ727568
OQ727569	OQ727569.1	OQ727569	2015-05-19	South America	Brazil	Bahia	Salvador, Pau Da Lima	9746	Homo sapiens	2023-07-07	2023-07-07		de Moraes et al.	Instituto Goncalo Moniz / Fundacao Oswaldo Cruz, Laboratorio de Enfermidades Infecciosas Transmitidas por Vetores	https://www.ncbi.nlm.nih.gov/nuccore/OQ727569
OQ727570	OQ727570.1	OQ727570	2015-05-19	South America	Brazil	Bahia	Salvador, Sao Marcos	10382	Homo sapiens	2023-07-07	2023-07-07		de Moraes et al.	Instituto Goncalo Moniz / Fundacao Oswaldo Cruz, Laboratorio de Enfermidades Infecciosas Transmitidas por Vetores	https://www.ncbi.nlm.nih.gov/nuccore/OQ727570
OQ727571	OQ727571.1	OQ727571	2015-05-19	South America	Brazil	Bahia	Salvador, Sao Marcos	9466	Homo sapiens	2023-07-07	2023-07-07		de Moraes et al.	Instituto Goncalo Moniz / Fundacao Oswaldo Cruz, Laboratorio de Enfermidades Infecciosas Transmitidas por Vetores	https://www.ncbi.nlm.nih.gov/nuccore/OQ727571
OQ727572	OQ727572.1	OQ727572	2015-05-20	South America	Brazil	Bahia	Salvador, Brasil Gas	9464	Homo sapiens	2023-07-07	2023-07-07		de Moraes et al.	Instituto Goncalo Moniz / Fundacao Oswaldo Cruz, Laboratorio de Enfermidades Infecciosas Transmitidas por Vetores	https://www.ncbi.nlm.nih.gov/nuccore/OQ727572
OQ727573	OQ727573.1	OQ727573	2015-05-21	South America	Brazil	Bahia	Salvador, Sao Marcos	10381	Homo sapiens	2023-07-07	2023-07-07		de Moraes et al.	Instituto Goncalo Moniz / Fundacao Oswaldo Cruz, Laboratorio de Enfermidades Infecciosas Transmitidas por Vetores	https://www.ncbi.nlm.nih.gov/nuccore/OQ727573
OQ727574	OQ727574.1	OQ727574	2015-05-22	South America	Brazil	Bahia	Salvador, Aguas Claras	9464	Homo sapiens	2023-07-07	2023-07-07		de Moraes et al.	Instituto Goncalo Moniz / Fundacao Oswaldo Cruz, Laboratorio de Enfermidades Infecciosas Transmitidas por Vetores	https://www.ncbi.nlm.nih.gov/nuccore/OQ727574
OQ727575	OQ727575.1	OQ727575	2015-05-26	South America	Brazil	Bahia	Salvador, Sao Marcos	10372	Homo sapiens	2023-07-07	2023-07-07		de Moraes et al.	Instituto Goncalo Moniz / Fundacao Oswaldo Cruz, Laboratorio de Enfermidades Infecciosas Transmitidas por Vetores	https://www.ncbi.nlm.nih.gov/nuccore/OQ727575
OQ727576	OQ727576.1	OQ727576	2015-05-26	South America	Brazil	Bahia	Salvador, Jardim Nova Esperanca	10638	Homo sapiens	2023-07-07	2023-07-07		de Moraes et al.	Instituto Goncalo Moniz / Fundacao Oswaldo Cruz, Laboratorio de Enfermidades Infecciosas Transmitidas por Vetores	https://www.ncbi.nlm.nih.gov/nuccore/OQ727576
OQ727577	OQ727577.1	OQ727577	2015-05-27	South America	Brazil	Bahia	Salvador, Pau Da Lima	9462	Homo sapiens	2023-07-07	2023-07-07		de Moraes et al.	Instituto Goncalo Moniz / Fundacao Oswaldo Cruz, Laboratorio de Enfermidades Infecciosas Transmitidas por Vetores	https://www.ncbi.nlm.nih.gov/nuccore/OQ727577
OQ727578	OQ727578.1	OQ727578	2015-07-09	South America	Brazil	Bahia	Salvador, Sao Marcos	10639	Homo sapiens	2023-07-07	2023-07-07		de Moraes et al.	Instituto Goncalo Moniz / Fundacao Oswaldo Cruz, Laboratorio de Enfermidades Infecciosas Transmitidas por Vetores	https://www.ncbi.nlm.nih.gov/nuccore/OQ727578
OQ734448	OQ734448.1	OQ734448	2022-03-29	Europe	France			10172	Homo sapiens	2023-12-03	2023-12-03		Marquine et al.	Institut National de la Sante et de la Recherche Medicale, Centre National de Reference des Arbovirus	https://www.ncbi.nlm.nih.gov/nuccore/OQ734448
OQ947195	OQ947195.1	OQ947195	XXXX-XX-XX					246		2023-05-20	2023-05-20		Alvarez-Diaz et al.	Instituto Nacional de Salud - Genomica de Microorganismos Emergentes, Direccion de Investigacion en Salud Publica	https://www.ncbi.nlm.nih.gov/nuccore/OQ947195
OQ947196	OQ947196.1	OQ947196	XXXX-XX-XX					454		2023-05-20	2023-05-20		Alvarez-Diaz et al.	Instituto Nacional de Salud - Genomica de Microorganismos Emergentes, Direccion de Investigacion en Salud Publica	https://www.ncbi.nlm.nih.gov/nuccore/OQ947196
OR140889	OR140889.1	OR140889	2015-XX-XX	South America	Brazil	Rio Grande do Norte	Natal (Rio Grande do Norte)	10353	Homo sapiens	2023-07-24	2023-07-24		Castilho et al.	Instituto Aggeu Magalhaes-FIOCRUZ-PE, Entomology	https://www.ncbi.nlm.nih.gov/nuccore/OR140889
OR264631	OR264631.1	OR264631	2020-11-27	Asia	Thailand			10602	Homo sapiens	2023-11-02	2023-11-02		Khongwichit et al.	Chulalongkorn University, Pediatrics, Faculty of Medicine	https://www.ncbi.nlm.nih.gov/nuccore/OR264631
OR264632	OR264632.1	OR264632	2022-06-15	Asia	Thailand			10602	Homo sapiens	2023-11-02	2023-11-02		Khongwichit et al.	Chulalongkorn University, Pediatrics, Faculty of Medicine	https://www.ncbi.nlm.nih.gov/nuccore/OR264632
OR264633	OR264633.1	OR264633	2022-10-29	Asia	Thailand			10602	Homo sapiens	2023-11-02	2023-11-02		Khongwichit et al.	Chulalongkorn University, Pediatrics, Faculty of Medicine	https://www.ncbi.nlm.nih.gov/nuccore/OR264633
OR264634	OR264634.1	OR264634	2022-11-09	Asia	Thailand			10602	Homo sapiens	2023-11-02	2023-11-02		Khongwichit et al.	Chulalongkorn University, Pediatrics, Faculty of Medicine	https://www.ncbi.nlm.nih.gov/nuccore/OR264634
OR264635	OR264635.1	OR264635	2022-11-23	Asia	Thailand			10602	Homo sapiens	2023-11-02	2023-11-02		Khongwichit et al.	Chulalongkorn University, Pediatrics, Faculty of Medicine	https://www.ncbi.nlm.nih.gov/nuccore/OR264635
OR264636	OR264636.1	OR264636	2022-11-24	Asia	Thailand			10602	Homo sapiens	2023-11-02	2023-11-02		Khongwichit et al.	Chulalongkorn University, Pediatrics, Faculty of Medicine	https://www.ncbi.nlm.nih.gov/nuccore/OR264636
OR264637	OR264637.1	OR264637	2022-12-03	Asia	Thailand			10494	Homo sapiens	2023-11-02	2023-11-02		Khongwichit et al.	Chulalongkorn University, Pediatrics, Faculty of Medicine	https://www.ncbi.nlm.nih.gov/nuccore/OR264637
OR264638	OR264638.1	OR264638	2023-01-28	Asia	Thailand			10569	Homo sapiens	2023-11-02	2023-11-02		Khongwichit et al.	Chulalongkorn University, Pediatrics, Faculty of Medicine	https://www.ncbi.nlm.nih.gov/nuccore/OR264638
OR264639	OR264639.1	OR264639	2023-02-02	Asia	Thailand			10602	Homo sapiens	2023-11-02	2023-11-02		Khongwichit et al.	Chulalongkorn University, Pediatrics, Faculty of Medicine	https://www.ncbi.nlm.nih.gov/nuccore/OR264639
OR264640	OR264640.1	OR264640	2023-02-14	Asia	Thailand			10602	Homo sapiens	2023-11-02	2023-11-02		Khongwichit et al.	Chulalongkorn University, Pediatrics, Faculty of Medicine	https://www.ncbi.nlm.nih.gov/nuccore/OR264640
OR264641	OR264641.1	OR264641	2023-02-14	Asia	Thailand			10602	Homo sapiens	2023-11-02	2023-11-02		Khongwichit et al.	Chulalongkorn University, Pediatrics, Faculty of Medicine	https://www.ncbi.nlm.nih.gov/nuccore/OR264641
OR264642	OR264642.1	OR264642	2021-02-05	Asia	Thailand			10602	Homo sapiens	2023-11-02	2023-11-02		Khongwichit et al.	Chulalongkorn University, Pediatrics, Faculty of Medicine	https://www.ncbi.nlm.nih.gov/nuccore/OR264642
OR264643	OR264643.1	OR264643	2022-11-01	Asia	Thailand			10596	Homo sapiens	2023-11-02	2023-11-02		Khongwichit et al.	Chulalongkorn University, Pediatrics, Faculty of Medicine	https://www.ncbi.nlm.nih.gov/nuccore/OR264643
OR264644	OR264644.1	OR264644	2022-11-18	Asia	Thailand			10602	Homo sapiens	2023-11-02	2023-11-02		Khongwichit et al.	Chulalongkorn University, Pediatrics, Faculty of Medicine	https://www.ncbi.nlm.nih.gov/nuccore/OR264644
OR264645	OR264645.1	OR264645	2022-12-19	Asia	Thailand			10602	Homo sapiens	2023-11-02	2023-11-02		Khongwichit et al.	Chulalongkorn University, Pediatrics, Faculty of Medicine	https://www.ncbi.nlm.nih.gov/nuccore/OR264645
OR264646	OR264646.1	OR264646	2023-03-04	Asia	Thailand			10602	Homo sapiens	2023-11-02	2023-11-02		Khongwichit et al.	Chulalongkorn University, Pediatrics, Faculty of Medicine	https://www.ncbi.nlm.nih.gov/nuccore/OR264646
OR264647	OR264647.1	OR264647	2023-03-16	Asia	Thailand			10602	Homo sapiens	2023-11-02	2023-11-02		Khongwichit et al.	Chulalongkorn University, Pediatrics, Faculty of Medicine	https://www.ncbi.nlm.nih.gov/nuccore/OR264647
OR488126	OR488126.1	OR488126	2019-11-XX	North America	Guadeloupe			10193	Aedes aegypti	2024-09-01	2024-09-01		Gutierrez-Bugallo et al.	Institut Pasteur de la Guadeloupe, Laboratoire d'Etude sur le Controle des Vecteurs (LECoV)	https://www.ncbi.nlm.nih.gov/nuccore/OR488126
OR488127	OR488127.1	OR488127	2019-11-XX	North America	Guadeloupe			10193	Aedes aegypti	2024-09-01	2024-09-01		Gutierrez-Bugallo et al.	Institut Pasteur de la Guadeloupe, Laboratoire d'Etude sur le Controle des Vecteurs (LECoV)	https://www.ncbi.nlm.nih.gov/nuccore/OR488127
OR488128	OR488128.1	OR488128	2019-11-XX	North America	Guadeloupe			2066	Aedes aegypti	2024-09-01	2024-09-01		Gutierrez-Bugallo et al.	Institut Pasteur de la Guadeloupe, Laboratoire d'Etude sur le Controle des Vecteurs (LECoV)	https://www.ncbi.nlm.nih.gov/nuccore/OR488128
OR488129	OR488129.1	OR488129	2019-11-XX	North America	Guadeloupe			2297	Aedes aegypti	2024-09-01	2024-09-01		Gutierrez-Bugallo et al.	Institut Pasteur de la Guadeloupe, Laboratoire d'Etude sur le Controle des Vecteurs (LECoV)	https://www.ncbi.nlm.nih.gov/nuccore/OR488129
OR506342	OR506342.1	OR506342	2016-XX-XX	South America	Brazil	Rio de Janeiro		960	Homo sapiens	2023-10-01	2023-10-01		Xavier et al.	Pan American Health Organization (PAHO), PHE-Brazil	https://www.ncbi.nlm.nih.gov/nuccore/OR506342
OR535163	OR535163.1	OR535163	2020-XX-XX	Asia	Thailand	Bangkok		10141	Culex quinquefasciatus	2023-10-01	2023-10-01		Phumee et al.	School of Allied Health Sciences, Walailak University, Department of Medical Technology	https://www.ncbi.nlm.nih.gov/nuccore/OR535163
OR535164	OR535164.1	OR535164	2020-XX-XX	Asia	Thailand	Bangkok		10141	Homo sapiens	2023-10-01	2023-10-01		Phumee et al.	School of Allied Health Sciences, Walailak University, Department of Medical Technology	https://www.ncbi.nlm.nih.gov/nuccore/OR535164
OR535165	OR535165.1	OR535165	2020-XX-XX	Asia	Thailand	Chanthaburi		10141	Homo sapiens	2023-10-01	2023-10-01		Phumee et al.	School of Allied Health Sciences, Walailak University, Department of Medical Technology	https://www.ncbi.nlm.nih.gov/nuccore/OR535165
OR535166	OR535166.1	OR535166	2020-XX-XX	Asia	Thailand	Chanthaburi		10141	Culex quinquefasciatus	2023-10-01	2023-10-01		Phumee et al.	School of Allied Health Sciences, Walailak University, Department of Medical Technology	https://www.ncbi.nlm.nih.gov/nuccore/OR535166
